plot,condition,co2,type,measurement,unit
Freshwater,1_flood,7731.65577263142,soil,conc,ppm
Freshwater,1_flood,16456.9947537727,soil,conc,ppm
Freshwater,1_flood,423.066793110287,soil,conc,ppm
Freshwater,1_flood,4670.59810369839,soil,conc,ppm
Freshwater,1_flood,19074.6392971009,soil,conc,ppm
Saltwater,1_flood,8796.96282526542,soil,conc,ppm
Saltwater,1_flood,11453.2896599243,soil,conc,ppm
Saltwater,1_flood,15236.3970663467,soil,conc,ppm
Saltwater,1_flood,18306.8593488901,soil,conc,ppm
Saltwater,1_flood,9042.87167729612,soil,conc,ppm
Saltwater,1_flood,14590.2565235522,soil,conc,ppm
Saltwater,1_flood,15115.585089622,soil,conc,ppm
Saltwater,1_flood,15136.8248886243,soil,conc,ppm
Saltwater,1_flood,5729.33005333691,soil,conc,ppm
Saltwater,1_flood,24701.1987262812,soil,conc,ppm
Saltwater,1_flood,14234.8389617441,soil,conc,ppm
Saltwater,1_flood,12925.2705267064,soil,conc,ppm
Saltwater,1_flood,402.469728895253,soil,conc,ppm
Saltwater,1_flood,3645.09628133362,soil,conc,ppm
Saltwater,1_flood,20284.4065339748,soil,conc,ppm
Saltwater,1_flood,14984.3046623978,soil,conc,ppm
Saltwater,1_flood,14654.2123287565,soil,conc,ppm
Saltwater,1_flood,14493.2774482471,soil,conc,ppm
Saltwater,1_flood,17918.1230067342,soil,conc,ppm
Saltwater,1_flood,19111.7701596349,soil,conc,ppm
Saltwater,1_flood,22764.3211389382,soil,conc,ppm
Freshwater,1_flood,56.7744542130261,soil,conc,ppm
Freshwater,1_flood,17031.3336943054,soil,conc,ppm
Freshwater,1_flood,30791.3250799108,soil,conc,ppm
Control,2_postflood,4677.29879854883,soil,conc,ppm
Control,2_postflood,8673.43954202462,soil,conc,ppm
Control,2_postflood,11832.6361639822,soil,conc,ppm
Control,2_postflood,20618.0376028237,soil,conc,ppm
Control,1_flood,5011.01852047189,soil,conc,ppm
Control,1_flood,16237.053864696,soil,conc,ppm
Control,1_flood,16358.6193925505,soil,conc,ppm
Control,1_flood,17491.7312713558,soil,conc,ppm
Control,1_flood,5011.72774506466,soil,conc,ppm
Control,1_flood,12535.1305108772,soil,conc,ppm
Control,1_flood,9636.66996759293,soil,conc,ppm
Control,1_flood,15006.5787472645,soil,conc,ppm
Control,1_flood,446.722388381641,soil,conc,ppm
Control,1_flood,5482.38691544175,soil,conc,ppm
Control,1_flood,11920.6021767542,soil,conc,ppm
Control,1_flood,17274.7233214805,soil,conc,ppm
Control,1_flood,18855.703142864,soil,conc,ppm
Control,1_flood,2586.57118886799,soil,conc,ppm
Control,1_flood,9468.55418808171,soil,conc,ppm
Control,1_flood,16365.5491078424,soil,conc,ppm
Control,1_flood,16668.8164988134,soil,conc,ppm
Saltwater,2_postflood,6708.27423628879,soil,conc,ppm
Saltwater,2_postflood,18467.602147739,soil,conc,ppm
Saltwater,2_postflood,16004.9231779311,soil,conc,ppm
Saltwater,2_postflood,20472.4988061823,soil,conc,ppm
Saltwater,2_postflood,8145.42183270724,soil,conc,ppm
Saltwater,2_postflood,18491.5680287697,soil,conc,ppm
Saltwater,2_postflood,16116.566949243,soil,conc,ppm
Saltwater,1_flood,14312.8093404118,soil,conc,ppm
Saltwater,2_postflood,5663.32045191606,soil,conc,ppm
Saltwater,2_postflood,14608.8736691125,soil,conc,ppm
Saltwater,2_postflood,16349.672819823,soil,conc,ppm
Saltwater,2_postflood,19244.4690360446,soil,conc,ppm
Saltwater,2_postflood,527.522277664216,soil,conc,ppm
Freshwater,2_postflood,8099.8984791588,soil,conc,ppm
Freshwater,2_postflood,10013.1647977674,soil,conc,ppm
Freshwater,2_postflood,10876.4832088293,soil,conc,ppm
Freshwater,2_postflood,18495.2028048077,soil,conc,ppm
Freshwater,2_postflood,14415.1667022121,soil,conc,ppm
Freshwater,2_postflood,36005.669877812,soil,conc,ppm
Freshwater,2_postflood,13032.8067055852,soil,conc,ppm
Freshwater,2_postflood,19874.659413258,soil,conc,ppm
Freshwater,2_postflood,6802.64543366427,soil,conc,ppm
Freshwater,2_postflood,21304.0277024245,soil,conc,ppm
Freshwater,2_postflood,10282.2121021373,soil,conc,ppm
Freshwater,2_postflood,17062.317943702,soil,conc,ppm
Freshwater,2_postflood,520.784644032899,soil,conc,ppm
Freshwater,2_postflood,8725.6044883741,soil,conc,ppm
Freshwater,2_postflood,16961.6819290904,soil,conc,ppm
Freshwater,2_postflood,15199.0445711275,soil,conc,ppm
Freshwater,2_postflood,16109.4747033153,soil,conc,ppm
Freshwater,2_postflood,5850.58529543208,soil,conc,ppm
Freshwater,2_postflood,10348.7019077095,soil,conc,ppm
Freshwater,2_postflood,8670.79472531408,soil,conc,ppm
Freshwater,2_postflood,19596.2961483519,soil,conc,ppm
Control,0_preflood,3007.0527193066,soil,conc,ppm
Control,0_preflood,11836.7659196839,soil,conc,ppm
Freshwater,1_flood,14378.0653907028,soil,conc,ppm
Freshwater,1_flood,16466.8278572412,soil,conc,ppm
Freshwater,1_flood,3848.67329048335,soil,conc,ppm
Saltwater,2_postflood,3080.46485241448,soil,conc,ppm
Saltwater,2_postflood,26931.0008459505,soil,conc,ppm
Saltwater,2_postflood,17191.3672685615,soil,conc,ppm
Saltwater,2_postflood,15578.5609935775,soil,conc,ppm
Saltwater,2_postflood,12649.3008948009,soil,conc,ppm
Saltwater,2_postflood,24732.8626492459,soil,conc,ppm
Saltwater,2_postflood,23622.1652226746,soil,conc,ppm
Saltwater,2_postflood,24759.6580408915,soil,conc,ppm
Control,2_postflood,6288.30984878241,soil,conc,ppm
Control,2_postflood,10334.5395791226,soil,conc,ppm
Control,2_postflood,15882.9587112432,soil,conc,ppm
Control,2_postflood,873.29142990819,soil,conc,ppm
Control,2_postflood,6449.88007632286,soil,conc,ppm
Control,2_postflood,19364.9928902785,soil,conc,ppm
Control,2_postflood,18998.6414493319,soil,conc,ppm
Control,2_postflood,19658.2941981698,soil,conc,ppm
Control,2_postflood,6860.04091138543,soil,conc,ppm
Control,2_postflood,14344.5249776697,soil,conc,ppm
Control,2_postflood,11232.8685666963,soil,conc,ppm
Control,2_postflood,17087.2811718163,soil,conc,ppm
Control,2_postflood,847.197875099188,soil,conc,ppm
Control,2_postflood,7123.65821496686,soil,conc,ppm
Control,2_postflood,13820.5040444429,soil,conc,ppm
Control,2_postflood,18949.4463809646,soil,conc,ppm
Control,2_postflood,20844.9673092416,soil,conc,ppm
Control,2_postflood,4214.14558844522,soil,conc,ppm
Control,2_postflood,11383.5270783667,soil,conc,ppm
Control,2_postflood,18649.2449088061,soil,conc,ppm
Control,2_postflood,18782.1801934135,soil,conc,ppm
Saltwater,2_postflood,10175.2817192648,soil,conc,ppm
Saltwater,2_postflood,7975.64380805671,soil,conc,ppm
Saltwater,2_postflood,18957.6394025623,soil,conc,ppm
Saltwater,2_postflood,22068.0029562052,soil,conc,ppm
Saltwater,2_postflood,7852.9110147266,soil,conc,ppm
Saltwater,2_postflood,21164.3030698926,soil,conc,ppm
Saltwater,2_postflood,16799.9934974512,soil,conc,ppm
Saltwater,2_postflood,15062.8586738033,soil,conc,ppm
Saltwater,2_postflood,6554.80837727197,soil,conc,ppm
Saltwater,2_postflood,10669.6999134997,soil,conc,ppm
Saltwater,2_postflood,19713.362532696,soil,conc,ppm
Saltwater,2_postflood,21959.6688996596,soil,conc,ppm
Saltwater,2_postflood,721.716836472094,soil,conc,ppm
Saltwater,2_postflood,3205.02242151974,soil,conc,ppm
Saltwater,2_postflood,16388.790988768,soil,conc,ppm
Saltwater,2_postflood,17541.5321357294,soil,conc,ppm
Saltwater,2_postflood,15846.4188692032,soil,conc,ppm
Saltwater,2_postflood,17698.1082400958,soil,conc,ppm
Saltwater,2_postflood,25135.5470750597,soil,conc,ppm
Saltwater,2_postflood,24706.4588086775,soil,conc,ppm
Saltwater,2_postflood,22215.5807735508,soil,conc,ppm
Freshwater,2_postflood,8426.38558778684,soil,conc,ppm
Freshwater,2_postflood,10704.6513879622,soil,conc,ppm
Freshwater,2_postflood,13676.4132480117,soil,conc,ppm
Freshwater,2_postflood,21115.373960747602,soil,conc,ppm
Freshwater,2_postflood,10114.0815471137,soil,conc,ppm
Freshwater,2_postflood,18781.5448463824,soil,conc,ppm
Freshwater,2_postflood,16043.7015100921,soil,conc,ppm
Freshwater,2_postflood,19807.2239748954,soil,conc,ppm
Freshwater,2_postflood,8131.99827973783,soil,conc,ppm
Freshwater,2_postflood,17349.6868833851,soil,conc,ppm
Freshwater,2_postflood,10255.0694859515,soil,conc,ppm
Freshwater,2_postflood,20250.0830187871,soil,conc,ppm
Freshwater,2_postflood,687.563239676506,soil,conc,ppm
Freshwater,2_postflood,5349.60677371407,soil,conc,ppm
Freshwater,2_postflood,18211.6533350669,soil,conc,ppm
Freshwater,2_postflood,15899.1009584849,soil,conc,ppm
Freshwater,2_postflood,18293.8790612912,soil,conc,ppm
Freshwater,2_postflood,5225.35210261197,soil,conc,ppm
Freshwater,2_postflood,11217.420768535,soil,conc,ppm
Freshwater,2_postflood,8546.1263398662,soil,conc,ppm
Freshwater,2_postflood,20628.3582981997,soil,conc,ppm
Control,2_postflood,4200.71464771964,soil,conc,ppm
Control,2_postflood,7938.47600674184,soil,conc,ppm
Control,2_postflood,11844.722533084,soil,conc,ppm
Control,2_postflood,18920.7744992506,soil,conc,ppm
Control,2_postflood,5096.87902273413,soil,conc,ppm
Control,2_postflood,17768.6982503449,soil,conc,ppm
Control,2_postflood,18401.1566687039,soil,conc,ppm
Control,2_postflood,17671.3941137681,soil,conc,ppm
Control,2_postflood,4751.16897253955,soil,conc,ppm
Control,2_postflood,10816.5241797155,soil,conc,ppm
Control,2_postflood,8707.20158774295,soil,conc,ppm
Control,2_postflood,14345.2859165557,soil,conc,ppm
Control,2_postflood,670.778257647612,soil,conc,ppm
Control,2_postflood,4958.05569645554,soil,conc,ppm
Control,2_postflood,11228.4950150408,soil,conc,ppm
Control,2_postflood,15786.9326564846,soil,conc,ppm
Control,2_postflood,17178.0397564223,soil,conc,ppm
Control,2_postflood,2639.40842102937,soil,conc,ppm
Control,2_postflood,9423.27463048704,soil,conc,ppm
Control,2_postflood,16624.2387780553,soil,conc,ppm
Control,2_postflood,16078.7859641657,soil,conc,ppm
Saltwater,2_postflood,14386.7755552328,soil,conc,ppm
Saltwater,2_postflood,26641.4229671712,soil,conc,ppm
Saltwater,2_postflood,36808.9923209791,soil,conc,ppm
Saltwater,2_postflood,24561.3632774066,soil,conc,ppm
Saltwater,2_postflood,10404.7380382945,soil,conc,ppm
Saltwater,2_postflood,20547.2481231578,soil,conc,ppm
Saltwater,2_postflood,18044.8673516671,soil,conc,ppm
Saltwater,2_postflood,15560.7860522212,soil,conc,ppm
Saltwater,2_postflood,18358.3372339154,soil,conc,ppm
Saltwater,2_postflood,34564.6141583771,soil,conc,ppm
Saltwater,2_postflood,25156.1367515185,soil,conc,ppm
Saltwater,2_postflood,20445.3488022404,soil,conc,ppm
Saltwater,2_postflood,561.306486651069,soil,conc,ppm
Saltwater,2_postflood,5892.85064850748,soil,conc,ppm
Saltwater,2_postflood,35879.1619410766,soil,conc,ppm
Saltwater,2_postflood,32076.8094298191,soil,conc,ppm
Saltwater,2_postflood,16565.8311777382,soil,conc,ppm
Saltwater,2_postflood,38999.7427615091,soil,conc,ppm
Saltwater,2_postflood,39947.1264500827,soil,conc,ppm
Saltwater,2_postflood,24984.711257241,soil,conc,ppm
Freshwater,2_postflood,24144.1840739781,soil,conc,ppm
Freshwater,2_postflood,15515.8832701914,soil,conc,ppm
Freshwater,2_postflood,11205.3048484085,soil,conc,ppm
Freshwater,2_postflood,16716.6374445321,soil,conc,ppm
Freshwater,2_postflood,28221.4276047396,soil,conc,ppm
Freshwater,2_postflood,44443.7359601004,soil,conc,ppm
Freshwater,2_postflood,20233.9555470578,soil,conc,ppm
Freshwater,2_postflood,32131.7891112711,soil,conc,ppm
Freshwater,2_postflood,9388.25666621901,soil,conc,ppm
Freshwater,2_postflood,30908.140280545,soil,conc,ppm
Freshwater,2_postflood,11964.3081422837,soil,conc,ppm
Freshwater,2_postflood,18392.069728609,soil,conc,ppm
Freshwater,2_postflood,563.41938491703,soil,conc,ppm
Freshwater,2_postflood,14080.7451434525,soil,conc,ppm
Freshwater,2_postflood,27148.7254081748,soil,conc,ppm
Freshwater,2_postflood,27562.7795907414,soil,conc,ppm
Freshwater,2_postflood,16253.7206426261,soil,conc,ppm
Freshwater,2_postflood,21029.5060707292,soil,conc,ppm
Freshwater,2_postflood,35595.2061447462,soil,conc,ppm
Freshwater,2_postflood,10170.7973512668,soil,conc,ppm
Freshwater,2_postflood,16702.4529526767,soil,conc,ppm
Control,2_postflood,3506.25817954269,soil,conc,ppm
Control,2_postflood,6669.92439398598,soil,conc,ppm
Control,2_postflood,9838.34832340577,soil,conc,ppm
Control,2_postflood,17307.8278568993,soil,conc,ppm
Control,2_postflood,4378.05034693688,soil,conc,ppm
Control,2_postflood,13887.6956868517,soil,conc,ppm
Control,2_postflood,13919.2709567423,soil,conc,ppm
Control,2_postflood,14807.4270040634,soil,conc,ppm
Control,2_postflood,4093.94679548303,soil,conc,ppm
Control,2_postflood,10227.5427064446,soil,conc,ppm
Control,2_postflood,8557.41483130112,soil,conc,ppm
Control,2_postflood,13239.5530621338,soil,conc,ppm
Control,2_postflood,551.458607670209,soil,conc,ppm
Control,2_postflood,4317.89184840638,soil,conc,ppm
Control,2_postflood,9382.38340006013,soil,conc,ppm
Control,2_postflood,13354.3218543076,soil,conc,ppm
Control,2_postflood,16199.6644306959,soil,conc,ppm
Control,2_postflood,2194.48080540872,soil,conc,ppm
Control,2_postflood,7765.45475713063,soil,conc,ppm
Control,2_postflood,13401.7807999738,soil,conc,ppm
Control,2_postflood,13835.7745364559,soil,conc,ppm
Saltwater,2_postflood,7051.67191880069,soil,conc,ppm
Saltwater,2_postflood,27956.9902602228,soil,conc,ppm
Saltwater,2_postflood,29033.7483349276,soil,conc,ppm
Saltwater,2_postflood,36219.3163986278,soil,conc,ppm
Saltwater,2_postflood,15047.5290797408,soil,conc,ppm
Saltwater,2_postflood,41328.9545282651,soil,conc,ppm
Saltwater,2_postflood,16193.8650420988,soil,conc,ppm
Saltwater,2_postflood,15629.8320214298,soil,conc,ppm
Saltwater,2_postflood,15040.5993644489,soil,conc,ppm
Saltwater,2_postflood,37134.8884091132,soil,conc,ppm
Saltwater,2_postflood,19346.2501528633,soil,conc,ppm
Saltwater,2_postflood,22032.3496449062,soil,conc,ppm
Saltwater,2_postflood,771.126149768415,soil,conc,ppm
Saltwater,2_postflood,4712.08774237544,soil,conc,ppm
Saltwater,2_postflood,28493.0310727459,soil,conc,ppm
Saltwater,2_postflood,26233.3602548623,soil,conc,ppm
Saltwater,2_postflood,21212.404750346,soil,conc,ppm
Saltwater,2_postflood,34438.1948747158,soil,conc,ppm
Saltwater,2_postflood,47797.3931000882,soil,conc,ppm
Saltwater,2_postflood,28561.0575316024,soil,conc,ppm
Freshwater,2_postflood,18943.8981760774,soil,conc,ppm
Freshwater,2_postflood,24616.0696118802,soil,conc,ppm
Freshwater,2_postflood,17741.6664505017,soil,conc,ppm
Freshwater,2_postflood,25125.4332368565,soil,conc,ppm
Freshwater,2_postflood,27167.7932068617,soil,conc,ppm
Freshwater,2_postflood,37438.6655552602,soil,conc,ppm
Freshwater,2_postflood,32173.7072398063,soil,conc,ppm
Freshwater,2_postflood,31989.2054170996,soil,conc,ppm
Freshwater,2_postflood,7804.27741582862,soil,conc,ppm
Freshwater,2_postflood,35238.2888684347,soil,conc,ppm
Freshwater,2_postflood,12237.773324846,soil,conc,ppm
Freshwater,2_postflood,18142.0976106822,soil,conc,ppm
Freshwater,2_postflood,547.439668311178,soil,conc,ppm
Freshwater,2_postflood,12286.7172095033,soil,conc,ppm
Freshwater,2_postflood,29927.8219749446,soil,conc,ppm
Freshwater,2_postflood,20346.5597266724,soil,conc,ppm
Freshwater,2_postflood,13993.3923144429,soil,conc,ppm
Freshwater,2_postflood,24953.5644772085,soil,conc,ppm
Freshwater,2_postflood,13213.5038338619,soil,conc,ppm
Freshwater,2_postflood,13642.00107975,soil,conc,ppm
Control,0_preflood,7199.719608,tree,flux,umol_m2_s
Control,0_preflood,7603.810098,tree,flux,umol_m2_s
Control,1_flood,7700.571972,tree,flux,umol_m2_s
Control,1_flood,6829.457112,tree,flux,umol_m2_s
Control,1_flood,7780.185216000001,tree,flux,umol_m2_s
Control,2_postflood,7732.316892,tree,flux,umol_m2_s
Control,2_postflood,6882.585186,tree,flux,umol_m2_s
Control,0_preflood,7958.539596,tree,flux,umol_m2_s
Control,0_preflood,7902.971496,tree,flux,umol_m2_s
Control,1_flood,7645.172178000001,tree,flux,umol_m2_s
Control,1_flood,7224.549672,tree,flux,umol_m2_s
Control,1_flood,7534.612656,tree,flux,umol_m2_s
Control,2_postflood,8036.920164,tree,flux,umol_m2_s
Control,2_postflood,6399.004854000001,tree,flux,umol_m2_s
Saltwater,0_preflood,6183.96357,tree,flux,umol_m2_s
Saltwater,0_preflood,7250.906118000001,tree,flux,umol_m2_s
Saltwater,1_flood,6138.29766,tree,flux,umol_m2_s
Saltwater,1_flood,6072.603492,tree,flux,umol_m2_s
Saltwater,1_flood,6898.356474,tree,flux,umol_m2_s
Saltwater,2_postflood,7843.733561999999,tree,flux,umol_m2_s
Saltwater,2_postflood,6477.727236000001,tree,flux,umol_m2_s
Saltwater,0_preflood,5982.970968600001,tree,flux,umol_m2_s
Saltwater,0_preflood,7106.332842,tree,flux,umol_m2_s
Saltwater,1_flood,6226.93734,tree,flux,umol_m2_s
Saltwater,1_flood,6095.36139,tree,flux,umol_m2_s
Saltwater,1_flood,7843.733561999999,tree,flux,umol_m2_s
Saltwater,2_postflood,7988.57523,tree,flux,umol_m2_s
Saltwater,2_postflood,6488.973288,tree,flux,umol_m2_s
Control,0_preflood,2503.4749865999997,tree,flux,umol_m2_s
Control,0_preflood,2673.0984468,tree,flux,umol_m2_s
Control,1_flood,2580.4642932,tree,flux,umol_m2_s
Control,1_flood,2426.7801222,tree,flux,umol_m2_s
Control,1_flood,2695.1294783999997,tree,flux,umol_m2_s
Control,2_postflood,2528.8652052,tree,flux,umol_m2_s
Control,2_postflood,2227.0146852000003,tree,flux,umol_m2_s
Control,0_preflood,2859.9851364,tree,flux,umol_m2_s
Control,0_preflood,3014.382186,tree,flux,umol_m2_s
Control,1_flood,2624.2009758,tree,flux,umol_m2_s
Control,1_flood,2759.7225168,tree,flux,umol_m2_s
Control,1_flood,3063.9584226,tree,flux,umol_m2_s
Control,2_postflood,2783.2536029999997,tree,flux,umol_m2_s
Control,2_postflood,2502.7479851999997,tree,flux,umol_m2_s
Control,0_preflood,3862.4541533999995,tree,flux,umol_m2_s
Control,0_preflood,4294.7629692,tree,flux,umol_m2_s
Control,1_flood,3666.5919191999997,tree,flux,umol_m2_s
Control,1_flood,4121.0869758,tree,flux,umol_m2_s
Control,1_flood,4588.6075896,tree,flux,umol_m2_s
Control,2_postflood,4252.554564,tree,flux,umol_m2_s
Control,2_postflood,4261.6626534,tree,flux,umol_m2_s
Control,0_preflood,3928.6831728000006,tree,flux,umol_m2_s
Control,0_preflood,4454.7869364,tree,flux,umol_m2_s
Control,1_flood,4395.5366346,tree,flux,umol_m2_s
Control,1_flood,4106.8831926,tree,flux,umol_m2_s
Control,1_flood,4692.6096366,tree,flux,umol_m2_s
Control,2_postflood,4449.3367524000005,tree,flux,umol_m2_s
Control,2_postflood,4135.8844152,tree,flux,umol_m2_s
Control,0_preflood,3095.8601994,tree,flux,umol_m2_s
Control,0_preflood,3534.6178314,tree,flux,umol_m2_s
Control,1_flood,3251.0934312000004,tree,flux,umol_m2_s
Control,1_flood,3247.556391,tree,flux,umol_m2_s
Control,1_flood,3605.7454326,tree,flux,umol_m2_s
Control,2_postflood,3444.1845372000002,tree,flux,umol_m2_s
Control,2_postflood,3211.0444296,tree,flux,umol_m2_s
Control,0_preflood,3476.5139772000002,tree,flux,umol_m2_s
Control,0_preflood,4396.3635011999995,tree,flux,umol_m2_s
Control,1_flood,4052.9326181999995,tree,flux,umol_m2_s
Control,1_flood,2836.9428198,tree,flux,umol_m2_s
Control,1_flood,4398.862554,tree,flux,umol_m2_s
Control,2_postflood,4090.1645928000003,tree,flux,umol_m2_s
Control,2_postflood,3743.7522612000002,tree,flux,umol_m2_s
Control,0_preflood,1934.6911470000002,tree,flux,umol_m2_s
Control,0_preflood,2092.94796,tree,flux,umol_m2_s
Control,1_flood,1990.0775598,tree,flux,umol_m2_s
Control,1_flood,1953.1831458000001,tree,flux,umol_m2_s
Control,1_flood,1982.7928038000002,tree,flux,umol_m2_s
Control,2_postflood,2063.9067996,tree,flux,umol_m2_s
Control,2_postflood,1942.103757,tree,flux,umol_m2_s
Control,0_preflood,3582.3525168,tree,flux,umol_m2_s
Control,0_preflood,3644.1617724,tree,flux,umol_m2_s
Control,1_flood,3571.829106,tree,flux,umol_m2_s
Control,1_flood,3077.867472,tree,flux,umol_m2_s
Control,1_flood,3533.0812428,tree,flux,umol_m2_s
Control,2_postflood,3598.4017554,tree,flux,umol_m2_s
Control,2_postflood,3055.6713120000004,tree,flux,umol_m2_s
Freshwater,0_preflood,4466.884002,tree,flux,umol_m2_s
Freshwater,0_preflood,4330.6371366,tree,flux,umol_m2_s
Freshwater,1_flood,4752.7195452,tree,flux,umol_m2_s
Freshwater,1_flood,3965.7787068,tree,flux,umol_m2_s
Freshwater,1_flood,5662.941291,tree,flux,umol_m2_s
Freshwater,2_postflood,5334.086607,tree,flux,umol_m2_s
Freshwater,2_postflood,5008.9333614,tree,flux,umol_m2_s
Freshwater,0_preflood,3691.47966,tree,flux,umol_m2_s
Freshwater,0_preflood,4046.003274,tree,flux,umol_m2_s
Freshwater,1_flood,4373.668293000001,tree,flux,umol_m2_s
Freshwater,1_flood,3817.7394606,tree,flux,umol_m2_s
Freshwater,1_flood,4850.8140516,tree,flux,umol_m2_s
Freshwater,2_postflood,4896.4694406,tree,flux,umol_m2_s
Freshwater,2_postflood,3743.7522612000002,tree,flux,umol_m2_s
Freshwater,0_preflood,3728.5427087999997,tree,flux,umol_m2_s
Freshwater,0_preflood,3921.5235456,tree,flux,umol_m2_s
Freshwater,1_flood,3907.1436750000003,tree,flux,umol_m2_s
Freshwater,1_flood,4202.472894,tree,flux,umol_m2_s
Freshwater,1_flood,4479.643002,tree,flux,umol_m2_s
Freshwater,2_postflood,4348.200255,tree,flux,umol_m2_s
Freshwater,2_postflood,4187.6754546,tree,flux,umol_m2_s
Freshwater,0_preflood,2218.6998095999998,tree,flux,umol_m2_s
Freshwater,0_preflood,2261.852532,tree,flux,umol_m2_s
Freshwater,1_flood,2857.4632848,tree,flux,umol_m2_s
Freshwater,1_flood,2345.3942034,tree,flux,umol_m2_s
Freshwater,1_flood,2247.1651782,tree,flux,umol_m2_s
Freshwater,2_postflood,2447.2037766000003,tree,flux,umol_m2_s
Freshwater,2_postflood,2153.0274864000003,tree,flux,umol_m2_s
Freshwater,0_preflood,4636.419203400001,tree,flux,umol_m2_s
Freshwater,0_preflood,4670.578605000001,tree,flux,umol_m2_s
Freshwater,1_flood,5627.4532038,tree,flux,umol_m2_s
Freshwater,1_flood,4735.1807262,tree,flux,umol_m2_s
Freshwater,1_flood,5592.8236272,tree,flux,umol_m2_s
Freshwater,2_postflood,5216.3688336000005,tree,flux,umol_m2_s
Freshwater,2_postflood,4934.9461626,tree,flux,umol_m2_s
Freshwater,0_preflood,2882.0984237999996,tree,flux,umol_m2_s
Freshwater,0_preflood,2893.4087586,tree,flux,umol_m2_s
Freshwater,1_flood,2977.7998782,tree,flux,umol_m2_s
Freshwater,1_flood,3060.4851702,tree,flux,umol_m2_s
Freshwater,1_flood,3209.1868716,tree,flux,umol_m2_s
Freshwater,2_postflood,3303.455016,tree,flux,umol_m2_s
Freshwater,2_postflood,3089.4455844,tree,flux,umol_m2_s
Freshwater,0_preflood,2631.4764648,tree,flux,umol_m2_s
Freshwater,0_preflood,2952.158175,tree,flux,umol_m2_s
Freshwater,1_flood,3338.566797,tree,flux,umol_m2_s
Freshwater,1_flood,2685.735318,tree,flux,umol_m2_s
Freshwater,1_flood,3297.3109962,tree,flux,umol_m2_s
Freshwater,2_postflood,3150.4374552,tree,flux,umol_m2_s
Freshwater,2_postflood,2559.9570798,tree,flux,umol_m2_s
Freshwater,0_preflood,1475.1093420000002,tree,flux,umol_m2_s
Freshwater,0_preflood,1726.6849416,tree,flux,umol_m2_s
Freshwater,1_flood,1851.5195772,tree,flux,umol_m2_s
Freshwater,1_flood,1575.9273354,tree,flux,umol_m2_s
Freshwater,1_flood,1982.7928038000002,tree,flux,umol_m2_s
Freshwater,2_postflood,2048.8858974,tree,flux,umol_m2_s
Freshwater,2_postflood,1701.7055736,tree,flux,umol_m2_s
Saltwater,0_preflood,4992.1802088,tree,flux,umol_m2_s
Saltwater,0_preflood,6087.908274,tree,flux,umol_m2_s
Saltwater,1_flood,5267.852364,tree,flux,umol_m2_s
Saltwater,1_flood,5529.8252832,tree,flux,umol_m2_s
Saltwater,1_flood,6168.688722,tree,flux,umol_m2_s
Saltwater,2_postflood,6036.502536,tree,flux,umol_m2_s
Saltwater,2_postflood,5652.6219918,tree,flux,umol_m2_s
Saltwater,0_preflood,5649.4347036,tree,flux,umol_m2_s
Saltwater,0_preflood,7005.8679059999995,tree,flux,umol_m2_s
Saltwater,1_flood,8040.260214,tree,flux,umol_m2_s
Saltwater,1_flood,6579.924972,tree,flux,umol_m2_s
Saltwater,1_flood,8391.981474,tree,flux,umol_m2_s
Saltwater,2_postflood,7527.26898,tree,flux,umol_m2_s
Saltwater,2_postflood,6836.417172,tree,flux,umol_m2_s
Saltwater,0_preflood,1252.7310492,tree,flux,umol_m2_s
Saltwater,0_preflood,1424.673348,tree,flux,umol_m2_s
Saltwater,1_flood,1368.1783224,tree,flux,umol_m2_s
Saltwater,1_flood,1676.158137,tree,flux,umol_m2_s
Saltwater,1_flood,2004.8238354,tree,flux,umol_m2_s
Saltwater,2_postflood,1743.6945185999998,tree,flux,umol_m2_s
Saltwater,2_postflood,1663.547622,tree,flux,umol_m2_s
Saltwater,0_preflood,2660.9655522,tree,flux,umol_m2_s
Saltwater,0_preflood,3204.610188,tree,flux,umol_m2_s
Saltwater,1_flood,3571.829106,tree,flux,umol_m2_s
Saltwater,1_flood,3379.0811076,tree,flux,umol_m2_s
Saltwater,1_flood,4016.8641516,tree,flux,umol_m2_s
Saltwater,2_postflood,3884.8051608,tree,flux,umol_m2_s
Saltwater,2_postflood,3107.4623514,tree,flux,umol_m2_s
Saltwater,0_preflood,5486.967300599999,tree,flux,umol_m2_s
Saltwater,0_preflood,4571.6338068000005,tree,flux,umol_m2_s
Saltwater,1_flood,6531.344652,tree,flux,umol_m2_s
Saltwater,1_flood,4701.0073434,tree,flux,umol_m2_s
Saltwater,1_flood,7439.994732,tree,flux,umol_m2_s
Saltwater,2_postflood,6704.777148,tree,flux,umol_m2_s
Saltwater,2_postflood,5985.5643864,tree,flux,umol_m2_s
Saltwater,0_preflood,3627.7764635999997,tree,flux,umol_m2_s
Saltwater,0_preflood,6258.6105,tree,flux,umol_m2_s
Saltwater,1_flood,3892.5647808000003,tree,flux,umol_m2_s
Saltwater,1_flood,3921.4229196,tree,flux,umol_m2_s
Saltwater,1_flood,4406.2062312,tree,flux,umol_m2_s
Saltwater,2_postflood,4405.3564878,tree,flux,umol_m2_s
Saltwater,2_postflood,3462.600906,tree,flux,umol_m2_s
Saltwater,0_preflood,1946.0744189999998,tree,flux,umol_m2_s
Saltwater,0_preflood,2129.6663454,tree,flux,umol_m2_s
