datetime_est,plot,depth_cm,eh_mv
2023-06-05 21:30,Freshwater,30,745.45928
2023-06-05 21:30,Freshwater,50,801.20322
2023-06-05 21:35,Control,5,619.9988917
2023-06-05 21:35,Control,15,714.30148
2023-06-05 21:35,Control,30,715.4618533
2023-06-05 21:35,Control,50,789.9658333
2023-06-05 21:35,Saltwater,5,672.1489
2023-06-05 21:35,Saltwater,15,721.3127933
2023-06-05 21:35,Saltwater,30,743.71518
2023-06-05 21:35,Saltwater,50,759.30976
2023-06-05 21:35,Freshwater,5,726.6400183
2023-06-05 21:35,Freshwater,15,627.59717
2023-06-05 21:35,Freshwater,30,744.6063933
2023-06-05 21:35,Freshwater,50,801.1662333
2023-06-05 21:40,Control,5,620.0436167
2023-06-05 21:40,Control,15,714.50898
2023-06-05 21:40,Control,30,714.9858133
2023-06-05 21:40,Control,50,789.9259583
2023-06-05 21:40,Saltwater,5,672.4333
2023-06-05 21:40,Saltwater,15,721.3420867
2023-06-05 21:40,Saltwater,30,743.98816
2023-06-05 21:40,Saltwater,50,759.3439
2023-06-05 21:40,Freshwater,5,727.8529317
2023-06-05 21:40,Freshwater,15,627.37307
2023-06-05 21:40,Freshwater,30,744.4167467
2023-06-05 21:40,Freshwater,50,800.6351467
2023-06-05 21:45,Control,5,620.2519417
2023-06-05 21:45,Control,15,714.63916
2023-06-05 21:45,Control,30,714.5691933
2023-06-05 21:45,Control,50,790.0039083
2023-06-05 21:45,Saltwater,5,672.4333
2023-06-05 21:45,Saltwater,15,721.33732
2023-06-05 21:45,Saltwater,30,744.09052
2023-06-05 21:45,Saltwater,50,759.37802
2023-06-05 21:45,Freshwater,5,728.58542
2023-06-05 21:45,Freshwater,15,627.30017
