"TOA5","TEMPEST_REDOX_fresh","CR1000","86614","CR1000.Std.31.03","CPU:COMPASS_Redox_Tempest_2024v1.CR1","14439","Redox5"
"TIMESTAMP","RECORD","Statname","BattV","RedoxRa(1)","RedoxRa(2)","RedoxRa(3)","RedoxRa(4)","RedoxRa(5)","RedoxRa(6)","RedoxRa(7)","RedoxRa(8)","RedoxRa(9)","RedoxRa(10)","RedoxRa(11)","RedoxRa(12)","RedoxRa(13)","RedoxRa(14)","RedoxRa(15)","RedoxRa(16)","RedoxRa(17)","RedoxRa(18)","RedoxRa(19)","RedoxRa(20)","RedoxRb(1)","RedoxRb(2)","RedoxRb(3)","RedoxRb(4)","RedoxRb(5)","RedoxRb(6)","RedoxRb(7)","RedoxRb(8)","RedoxRb(9)","RedoxRb(10)","RedoxRb(11)","RedoxRb(12)","RedoxRb(13)","RedoxRb(14)","RedoxRb(15)","RedoxRb(16)","RedoxRb(17)","RedoxRb(18)","RedoxRb(19)","RedoxRb(20)"
"TS","RN","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-05-07 07:35:00",28,"NAN",11.93,1777.362,555.2346,545.8872,-370.6662,1574.779,494.9015,555.4045,537.2196,624.915,149.3882,582.087,551.1557,576.1387,1120.836,589.0551,590.5847,1408.226,570.0204,564.7519,623.5554,1798.606,561.8627,554.8947,-361.9987,1582.087,502.5493,566.4514,546.9069,639.8708,155.6764,593.6438,558.1238,584.8063,1127.804,598.9124,599.4222,1413.324,579.3678,578.858,631.5432
"2024-05-07 07:40:00",29,"NAN",11.93,1779.213,553.3591,548.9404,-369.9824,1576.631,495.5759,558.1177,537.5536,625.0782,147.3472,581.5709,549.1103,578.0019,1121.334,592.7876,591.0881,1408.38,570.3541,564.7458,622.0191,1802.156,563.896,555.0586,-360.8051,1583.26,502.8838,565.7654,547.0709,635.7851,159.4136,590.9182,560.8369,584.9698,1127.452,597.7162,600.0955,1413.819,579.3615,574.7728,631.3664
"2024-05-07 07:45:00",30,"NAN",11.93,1779.013,553.01,545.5323,-370.1462,1581.194,497.777,555.7292,542.3033,625.2378,150.2338,581.7312,548.9313,575.783,1121.315,588.3591,591.0783,1410.566,574.4234,565.0763,624.558,1803.146,567.6255,554.8795,-358.5898,1587.822,502.7055,563.8867,546.8919,634.415,159.411,590.7384,562.867,585.1301,1126.244,598.726,599.5757,1419.064,579.5219,574.9333,633.9052
"2024-05-07 07:50:00",31,"NAN",11.93,1778.699,552.1682,546.0499,-370.1515,1583.596,496.4245,555.5671,540.4416,625.0768,147.3468,581.5695,548.9391,576.3011,1122.351,588.3676,592.1064,1413.646,572.3922,565.4243,622.0177,1804.021,561.6854,557.0967,-361.9939,1587.675,503.2225,566.274,546.3898,633.9142,158.2236,590.5769,557.6066,587.0079,1130.339,601.7936,599.9241,1419.254,580.3799,574.4316,631.3649
"2024-05-07 07:55:00",32,"NAN",11.93,1777.667,553.6941,548.4257,-370.489,1586.305,495.4016,555.7335,537.549,627.6219,148.0257,586.8342,548.9355,577.1471,1123.873,588.8736,590.4031,1417.205,570.3491,567.29,622.5235,1807.069,561.8517,557.2631,-361.6516,1587.664,503.5591,563.8911,547.236,633.7401,156.863,589.5533,557.9429,586.3243,1129.991,598.9006,599.9203,1423.663,580.886,574.7678,631.1909
"2024-05-07 08:00:00",33,"NAN",11.93,1782.393,553.6838,546.2062,-367.2531,1589.334,498.2815,555.7232,537.8788,625.0611,148.0229,580.8752,549.7751,576.2866,1122.493,588.5228,592.6014,1420.748,570.6784,564.7303,622.1721,1806.185,562.1811,554.5336,-361.475,1593.243,505.7591,563.8806,551.9844,633.5584,158.5596,590.902,557.4226,584.444,1129.97,597.19,601.6086,1423.637,583.2544,575.097,633.3885
"2024-05-07 08:05:00",34,"NAN",11.93,1784.087,555.8915,545.6948,-365.8925,1589.67,495.3909,555.7216,537.3674,624.5494,148.0225,580.8735,551.1331,576.285,1119.6,588.8609,591.5801,1420.404,570.6768,565.5784,622.5101,1804.821,562.3494,557.0811,-361.9838,1594.768,503.2084,564.5587,546.8844,635.0861,156.0099,594.2992,558.1008,586.8216,1131.667,598.038,599.7374,1426.692,579.5139,576.6249,631.6872
"2024-05-07 08:10:00",35,"NAN",11.93,1784.399,553.3336,545.6862,-370.3052,1587.775,495.723,561.4908,537.8688,626.9188,148.1901,581.0342,549.4249,576.2758,1124.681,590.2111,590.2111,1418.682,570.8376,566.929,622.5002,1805.642,561.8307,555.3729,-362.3179,1597.632,504.0502,563.7001,546.7058,635.9257,156.5173,592.0805,558.2619,585.1129,1129.779,598.3683,599.558,1429.388,579.3348,575.4261,631.6771
"2024-05-07 08:15:00",36,"NAN",11.93,1787.674,555.5573,545.5305,-369.975,1591.725,495.396,556.2371,538.5626,624.8958,150.7431,580.7095,551.6486,576.4608,1125.39,589.0369,591.0763,1426.537,571.7023,565.4142,625.0657,1810.277,564.9044,554.0278,-356.5492,1599.543,505.4229,564.2246,546.5501,633.563,157.2011,589.3768,559.976,585.8079,1127.43,598.384,602.1229,1433.674,579.5199,575.1013,631.6937
"2024-05-07 08:20:00",37,"NAN",11.93,1785.523,555.3524,545.666,-370.2916,1590.945,495.8746,556.2021,540.5679,624.6865,152.9428,581.0128,551.104,576.4246,1122.6,588.3201,590.1894,1426.617,572.516,565.7185,625.876,1810.333,561.81,554.3328,-362.1346,1598.762,503.012,567.7578,546.8556,635.7324,162.7991,589.6796,557.9014,585.2612,1128.038,598.8561,599.196,1431.035,579.6533,577.1043,631.6539
"2024-05-07 08:25:00",38,"NAN",11.93,1786.546,553.3145,551.1052,-370.2924,1590.099,495.7058,556.2034,537.8502,624.6879,149.0346,582.8834,549.5758,579.4847,1120.734,590.5306,590.3607,1428.319,570.8179,565.8898,622.6487,1811.527,561.9812,553.9942,-361.9655,1599.786,503.0131,567.7591,546.517,634.5443,157.1916,589.1711,558.2426,585.4325,1130.42,599.7072,599.3673,1432.908,579.8246,574.5565,631.9952
