"TOA5","RedoxMU1_81","CR1000","86633","CR1000.Std.31.03","CPU:COMPASS_MU_programsv2.CR1","36780","Table1"
"TIMESTAMP","RECORD","Statname","BattV","RedoxRa(1)","RedoxRa(2)","RedoxRa(3)","RedoxRa(4)","RedoxRa(5)","RedoxRa(6)","RedoxRa(7)","RedoxRa(8)","RedoxRa(9)","RedoxRa(10)","RedoxRa(11)","RedoxRa(12)","RedoxRa(13)","RedoxRa(14)","RedoxRa(15)","RedoxRa(16)","RedoxRa(17)","RedoxRa(18)","RedoxRa(19)","RedoxRa(20)","RedoxRb(1)","RedoxRb(2)","RedoxRb(3)","RedoxRb(4)","RedoxRb(5)","RedoxRb(6)","RedoxRb(7)","RedoxRb(8)","RedoxRb(9)","RedoxRb(10)","RedoxRb(11)","RedoxRb(12)","RedoxRb(13)","RedoxRb(14)","RedoxRb(15)","RedoxRb(16)","RedoxRb(17)","RedoxRb(18)","RedoxRb(19)","RedoxRb(20)"
"TS","RN","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-05 19:05:00",30,"NAN",12.61,447.2195,512.4747,528.8738,578.0714,407.2465,491.4632,495.3922,541.1732,430.1371,487.5342,542.0273,568.3344,323.5423,477.968,495.7338,585.7585,820.1302,514.1829,536.2193,574.9966,1936.471,2126.428,2136.507,2139.411,2070.568,2066.298,2133.261,2140.436,2063.906,2119.083,2122.499,2140.436,2087.48,2119.937,2124.208,2140.436,2047.678,2126.599,2135.823,2133.432
"2023-06-05 19:10:00",31,"NAN",12.61,447.4014,512.1456,528.3744,577.9149,407.5982,491.817,493.1836,540.5033,430.1477,487.8879,542.0408,568.5192,323.7212,478.4923,496.2585,585.773,816.7339,514.3665,536.0617,575.0107,1940.106,2130.068,2139.805,2142.709,2073.011,2069.082,2135.193,2142.539,2065.836,2121.356,2124.431,2142.539,2090.777,2123.064,2127.164,2143.222,2049.437,2129.385,2138.78,2135.535
"2023-06-05 19:15:00",32,"NAN",12.61,448.08,511.7986,527.5147,577.9088,407.4231,491.8118,491.1285,539.9851,430.314,488.0536,542.2059,568.1716,323.8885,478.6581,496.7658,586.1085,806.134,514.8735,535.8853,575.0047,1941.623,2130.9,2140.979,2143.712,2075.552,2071.11,2137.05,2144.566,2068.035,2123.383,2126.629,2144.224,2092.635,2124.921,2129.191,2144.907,2049.244,2131.412,2140.295,2137.562
"2023-06-05 19:20:00",33,"NAN",12.61,448.7676,511.6327,527.0073,578.256,407.5978,491.6457,488.7416,539.6486,430.4889,488.3999,542.2111,568.3479,324.2333,479.1752,497.1122,586.1141,803.5793,515.2201,535.5487,575.181,1943.521,2132.97,2142.707,2145.953,2077.451,2072.497,2138.437,2146.466,2069.934,2125.283,2128.016,2145.953,2094.875,2126.82,2130.92,2146.978,2050.118,2133.824,2142.537,2139.974
"2023-06-05 19:25:00",34,"NAN",12.62,448.7825,511.8205,526.5123,578.1043,407.7822,491.3203,486.3661,539.3248,430.8448,488.7578,542.229,568.5375,324.4149,479.3619,497.4704,585.9627,801.556,515.408,535.3956,574.8585,1960.84,2150.466,2159.862,2162.254,2093.749,2088.282,2154.737,2162.424,2086.403,2142.095,2144.487,2162.424,2112.882,2143.462,2147.562,2162.424,2062.315,2149.27,2157.983,2154.737
"2023-06-05 19:30:00",35,"NAN",12.61,449.5238,511.3739,526.0676,578.1789,407.8348,491.7254,484.2077,539.0527,430.9005,489.1626,542.1281,568.4401,324.2859,479.7654,497.8763,586.0383,798.0714,515.8162,535.123,575.1035,1964.168,2153.135,2162.191,2164.583,2097.436,2091.627,2157.919,2165.95,2090.089,2145.276,2147.839,2165.779,2116.23,2146.472,2150.573,2165.266,2063.948,2153.135,2161.507,2158.603
"2023-06-05 19:35:00",36,"NAN",12.61,450.0416,511.3799,525.5611,578.0147,408.3521,491.3894,481.6505,538.3755,431.0763,489.3391,542.1344,568.7883,324.4605,480.1127,498.5655,586.2159,796.2012,516.1639,534.9584,575.1101,1968.291,2157.432,2166.658,2169.221,2101.39,2095.239,2161.191,2169.563,2094.043,2149.231,2151.281,2169.05,2121.039,2150.939,2155.04,2169.392,2067.219,2157.432,2165.804,2162.558
"2023-06-05 19:40:00",37,"NAN",12.61,449.874,511.2127,524.7106,578.0189,408.3551,491.0512,479.091,537.8668,431.4211,489.8552,541.9675,568.4507,324.9755,480.287,498.7399,586.0493,793.644,516.6802,534.6205,575.1143,1973.431,2162.915,2172.312,2174.704,2107.215,2100.38,2166.845,2175.046,2099.697,2154.885,2157.106,2174.875,2126.864,2156.081,2160.865,2174.875,2070.992,2162.915,2171.8,2168.383
"2023-06-05 19:45:00",38,"NAN",12.61,450.5645,511.2206,524.0353,578.1987,408.3614,491.2297,476.5356,537.3626,431.4278,490.0337,542.3176,568.6304,324.9805,480.6362,499.0894,586.4001,790.9225,517.03,534.6288,574.9523,1979.1,2168.416,2177.472,2179.693,2112.202,2105.539,2172.004,2179.693,2104.513,2159.873,2161.752,2179.351,2133.048,2161.923,2166.366,2180.206,2074.954,2168.758,2176.617,2173.371
"2023-06-05 19:50:00",39,"NAN",12.61,451.4261,511.2289,523.3604,578.0372,408.368,491.2377,474.1512,536.8587,431.4348,490.2125,541.9847,568.8105,325.3275,480.644,499.4392,586.4097,789.0558,517.2092,534.2957,575.1326,1984.088,2172.723,2181.437,2183.488,2117.704,2110.528,2176.653,2185.196,2110.186,2165.376,2166.914,2184.854,2137.866,2166.23,2170.844,2184.342,2078.405,2172.894,2181.266,2177.678
